"";"Transporte";"CulturaDeporte";"Educa";"Vivienda";"AguaSaneamiento";"Agro";"InclusReconci";"AmbienteSostenible";"SaludProtecc";"MinasEnerg";"Telecom";"ComIndTur"
"45";"intervalos";"ocg";"achievement";"contracíclica";"selectivas";"salmonelosis";"aat";"johannesburgo";"metabólicos";"turbinas";"guarniciones";"snci"
"46";"utsc";"creative";"edcf";"transunion";"internalización";"cítricos";"desarraigados";"desbaratado";"rubéola";"kbdc";"transpondedores";"hong"
"47";"tire";"exhibición";"lifelong";"inconsistentes";"solid";"capitata";"oswaldo";"subcuencas";"vop";"sísmico";"afi";"kong"
"48";"segundas";"cinematográficos";"semestres";"unificador";"isr";"agronómico";"porras";"vertida";"distribuciones";"termocandelaria";"mobile";"simplificado"
"49";"bazurto";"pzc";"administrativ";"fiscos";"kpital";"huevos";"aui";"disease";"lactante";"gbtud";"metrotel";"nri"
"50";"ciclorrutas";"multifase";"laborar";"gravámenes";"touche";"algodoneras";"antipersonales";"prüss";"canguro";"giga";"ponal";"renata"
"51";"transporte";"juegos";"educación";"vis";"agua";"producción";"población";"ambiental";"salud";"gecelca";"telecomunicaciones";"fem"
"52";"invías";"musical";"formación";"frech";"residuos";"msf";"afrocolombiana";"uaespnn";"parto";"producción";"ciberseguridad";"solidaria"
"53";"corredor";"estadio";"superior";"misn";"apsb";"frutas";"reintegración";"salud";"nutricional";"refinerías";"ciberdefensa";"convenciones"
"54";"pasajeros";"históricos";"jornada";"catastral";"acueducto";"ica";"víctimas";"climático";"atención";"etanol";"emisoras";"empresas"
"55";"vías";"deportivos";"maestría";"programa";"cortolima";"fertilizantes";"pped";"bioprospección";"anemia";"carbón";"comunicaciones";"turismo"
"56";"troncal";"música";"due";"catastro";"rellenos";"leche";"violaciones";"aire";"icbf";"hidroeléctrica";"cibernética";"comercio"
"57";"calzada";"patrimonio";"condonación";"sfv";"saneamiento";"pastos";"social";"cambio";"infancia";"gas";"radio";"congresos"
"58";"alimentadoras";"cultural";"educativa";"macroproyectos";"aseo";"productos";"paz";"ipcc";"vacunas";"biocombustibles";"incidentes";"competitividad"
"59";"vial";"musicales";"doctorado";"multipropósito";"reservorio";"inocuidad";"derechos";"protegidas";"integral";"mw";"información";"productividad"
